,Gender,Pevious semester mark percentage,Number of Arrear papers, Using mobile phone for non-academic purposes,Interfere with your sleeping?,Before going to sleep/just after waking up ,Survive without mobilephone,Usage is more in ,Screening time,Distracted during class or while studying,Check phone during class,Use phone late at night (exam the next day),Unable to focus in class due to lack of sleep caused by phone usage,Headaches or eye strain as a result of excessive phone use,Anxiety,Depression,Sleep disturbances,Social isolation,Attention and concentration difficulties,Irritability and aggression,Impaired cognitive functioning ,Low self-esteem,Addiction,cluster
90,Male,70% - 90%,0,3 hours,Yes,Yes,No,Social media,3-5 hours,Only when it is necessary,No,Yes,Yes,Yes,0,1,0,1,0,0,0,0,0,1
91,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,No,Social media,3-5 hours,Only when it is necessary,Yes,No,No,Yes,0,0,0,0,0,0,0,0,1,0
92,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Often,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0
93,Male,50% - 70%,0,More than 4 hours,Sometimes,Yes,No,Social media,More than 5 hours,Often,Yes,Yes,No,Yes,0,0,0,0,0,0,0,0,1,1
94,Male,70% - 90%,0,1 hour,No,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,Yes,No,Yes,0,0,0,0,0,1,0,0,0,0
95,Male,50% - 70%,0,3 hours,Yes,Yes,Yes,Academic works,1-3 hours,Only when it is necessary,No,No,Yes,Yes,1,0,1,0,0,0,0,1,1,1
96,Male,50% - 70%,0,More than 4 hours,Yes,Yes,No,Gaming,More than 5 hours,Always,Yes,Yes,Yes,No,0,1,1,1,0,0,0,0,1,1
97,Male,50% - 70%,0,2 hours,Sometimes,Yes,Yes,Social media,1-3 hours,Very often,No,No,No,Yes,0,0,0,0,0,0,0,0,1,0
98,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,No,Social media,More than 5 hours,Always,Yes,Yes,Yes,No,0,0,1,0,0,0,0,0,0,1
99,Male,70% - 90%,0,2 hours,No,Yes,Yes,Social media,Less than 1 hour,Often,No,No,No,No,0,0,0,0,1,0,0,0,0,0
100,Male,70% - 90%,0,2 hours,Sometimes,Yes,No,Academic works,Less than 1 hour,Only when it is necessary,No,No,No,Yes,0,0,0,1,0,1,0,1,0,0
101,Male,70% - 90%,0,3 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Very often,Yes,No,Yes,Yes,0,0,1,0,1,0,0,0,0,1
102,Male,70% - 90%,0,More than 4 hours,No,Yes,Yes,Gaming,3-5 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0
103,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,No,Social media,More than 5 hours,Often,Yes,Yes,No,Yes,0,0,0,1,0,0,0,0,1,1
104,Male,50% - 70%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Very often,Yes,Yes,No,No,1,1,1,0,1,0,0,0,1,1
105,Male,50% - 70%,1,More than 4 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,No,Yes,Yes,0,0,1,0,0,0,0,0,1,1
106,Male,50% - 70%,1,More than 4 hours,Yes,Yes,No,Social media,3-5 hours,Only when it is necessary,No,Yes,Yes,Yes,0,1,0,0,1,0,0,1,0,1
107,Male,70% - 90%,0,3 hours,No,Yes,No,Social media,1-3 hours,Only when it is necessary,No,No,No,Yes,0,0,0,1,0,0,0,0,0,0
108,Male,70% - 90%,0,More than 4 hours,No,Yes,Yes,Social media,1-3 hours,Very often,Yes,No,No,No,0,0,0,1,0,0,0,0,1,0
109,Male,50% - 70%,0,More than 4 hours,Yes,Yes,No,Gaming,More than 5 hours,Only when it is necessary,No,Yes,Yes,Yes,1,0,0,0,0,0,0,0,0,1
110,Male,70% - 90%,0,3 hours,No,Yes,Yes,Browsing,1-3 hours,Only when it is necessary,No,Yes,No,No,1,0,0,0,0,0,0,1,0,0
111,Male,50% - 70%,0,3 hours,Sometimes,No,Yes,Basic purposes ( Calls ),1-3 hours,Only when it is necessary,No,No,No,Yes,0,1,0,1,1,0,0,0,1,0
112,Female,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,No,Yes,Yes,1,0,1,0,0,0,0,0,0,1
113,Female,50% - 70%,0,More than 4 hours,Sometimes,Yes,No,Social media,1-3 hours,Often,No,Yes,No,Yes,0,0,0,0,1,0,0,0,0,1
114,Female,Below 50%,above 4,More than 4 hours,Sometimes,No,Yes,Basic purposes ( Calls ),1-3 hours,Always,No,No,Yes,No,0,1,0,1,0,0,0,0,0,0
115,Female,50% - 70%,1,3 hours,Sometimes,Yes,No,Social media,1-3 hours,Only when it is necessary,No,No,No,Yes,0,0,1,0,1,0,0,1,0,0
116,Male,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,No,Yes,No,0,0,1,0,0,0,0,0,1,0
117,Male,70% - 90%,0,More than 4 hours,No,Yes,No,Social media,3-5 hours,Often,No,No,Yes,Yes,0,0,1,0,1,0,1,0,1,1
118,Male,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Often,No,Yes,Yes,Yes,0,0,0,1,0,0,0,0,0,1
119,Male,70% - 90%,0,More than 4 hours,No,Yes,No,Social media,More than 5 hours,Often,Yes,No,No,No,0,0,0,0,1,0,0,0,0,0
120,Male,Above 90%,0,3 hours,No,No,Yes,Browsing,More than 5 hours,Only when it is necessary,No,Yes,No,No,0,0,0,0,1,0,0,1,0,0
121,Male,70% - 90%,0,More than 4 hours,Yes,Yes,Yes,Gaming,More than 5 hours,Only when it is necessary,Yes,Yes,Yes,No,0,0,0,0,0,0,0,0,0,1
122,Male,70% - 90%,0,3 hours,No,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0
123,Male,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,Yes,Yes,Yes,0,0,1,0,1,0,0,0,0,1
124,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Gaming,More than 5 hours,Very often,Yes,Yes,Yes,No,0,0,0,0,0,0,0,0,1,1
125,Male,70% - 90%,0,3 hours,Sometimes,No,No,Social media,More than 5 hours,Very often,No,Yes,Yes,Yes,0,1,1,0,0,0,0,0,0,1
126,Male,70% - 90%,0,More than 4 hours,No,Yes,No,Social media,3-5 hours,Often,Yes,Yes,No,Yes,0,0,0,0,1,0,1,0,0,1
127,Male,70% - 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Only when it is necessary,No,Yes,Yes,No,0,1,1,1,1,0,0,0,1,1
128,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,Yes,Yes,No,0,0,0,1,0,0,0,1,0,0
129,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Gaming,3-5 hours,Only when it is necessary,No,Yes,No,No,0,0,1,0,0,0,0,0,0,0
130,Male,70% - 90%,0,3 hours,Sometimes,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,Yes,Yes,0,0,1,0,0,0,0,0,1,0
131,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,No,No,0,0,1,0,0,1,0,0,0,0
132,Male,70% - 90%,0,More than 4 hours,Yes,Yes,Yes,Gaming,More than 5 hours,Only when it is necessary,No,Yes,Yes,No,0,0,0,0,1,0,1,0,0,1
133,Male,50% - 70%,1,3 hours,Sometimes,Yes,No,Social media,3-5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
134,Male,50% - 70%,0,More than 4 hours,Yes,Yes,No,Social media,3-5 hours,Only when it is necessary,No,No,No,No,0,0,1,0,0,0,1,0,0,0
135,Male,70% - 90%,0,More than 4 hours,Yes,Yes,Yes,Gaming,More than 5 hours,Only when it is necessary,No,Yes,No,Yes,0,0,0,1,0,1,0,0,1,1
136,Male,70% - 90%,1,3 hours,No,Yes,No,Social media,Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
137,Male,70% - 90%,0,3 hours,No,Yes,No,Social media,3-5 hours,Only when it is necessary,No,No,No,No,1,0,0,1,0,1,0,0,0,0
138,Male,Above 90%,0,More than 4 hours,Yes,Yes,Yes,Social media,More than 5 hours,Only when it is necessary,No,Yes,No,No,0,1,1,0,1,0,1,1,1,1
139,Male,50% - 70%,2,More than 4 hours,Sometimes,Yes,Yes,Social media,More than 5 hours,Only when it is necessary,No,Yes,No,No,0,0,0,0,1,0,0,0,0,0
140,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,No,Browsing,3-5 hours,Often,No,Yes,Yes,Yes,0,0,1,0,1,0,0,0,1,1
141,Male,70% - 90%,2,1 hour,Yes,Yes,Yes,Academic works,3-5 hours,Only when it is necessary,No,No,No,Yes,1,0,1,0,0,0,0,0,1,0
142,Male,Above 90%,0,More than 4 hours,Yes,Yes,Yes,Browsing,More than 5 hours,Very often,No,Yes,Yes,Yes,0,0,1,0,0,0,0,0,1,1
143,Male,50% - 70%,0,More than 4 hours,Yes,Yes,Yes,Academic works,3-5 hours,Always,No,No,No,No,1,0,1,1,0,0,0,0,1,0
144,Male,70% - 90%,0,More than 4 hours,No,No,Yes,Social media,3-5 hours,Very often,Yes,Yes,No,Yes,0,0,0,0,0,0,0,0,0,0
145,Male,70% - 90%,0,2 hours,No,No,No,Social media,1-3 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
146,Female,70% - 90%,0,3 hours,Sometimes,Yes,No,Browsing,More than 5 hours,Only when it is necessary,No,Yes,No,Yes,0,0,0,0,0,0,1,0,1,0
147,Male,50% - 70%,3,More than 4 hours,Yes,Yes,Yes,Social media,Less than 1 hour,Always,No,Yes,Yes,Yes,1,1,1,1,1,0,0,1,1,1
148,Female,70% - 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Often,Yes,Yes,Yes,Yes,0,1,1,0,0,0,0,0,0,1
149,Male,70% - 90%,0,3 hours,Sometimes,Yes,Yes,Browsing,1-3 hours,Only when it is necessary,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0
150,Female,70% - 90%,0,3 hours,Sometimes,Yes,No,Social media,3-5 hours,Often,No,Yes,Yes,No,0,0,1,0,0,0,0,0,0,1
151,Female,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Very often,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,1,1
152,Male,50% - 70%,1,More than 4 hours,No,Yes,Yes,Basic purposes ( Calls ),Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
153,Female,70% - 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Often,Yes,Yes,Yes,Yes,0,0,1,0,0,0,0,0,1,1
154,Female,70% - 90%,0,More than 4 hours,Yes,Yes,Yes,Social media,3-5 hours,Often,No,Yes,Yes,Yes,0,1,1,0,1,1,1,0,0,1
155,Male,50% - 70%,1,1 hour,Yes,Yes,Yes,Social media,Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
156,Female,70% - 90%,0,More than 4 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
157,Female,70% - 90%,0,3 hours,Sometimes,Yes,No,Social media,3-5 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0
158,Female,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,More than 5 hours,Only when it is necessary,No,Yes,Yes,Yes,0,0,1,1,1,0,1,0,0,1
159,Male,70% - 90%,0,3 hours,Sometimes,Yes,No,Social media,3-5 hours,Only when it is necessary,Yes,No,No,Yes,0,0,1,0,1,0,0,0,0,0
